Id;IsEmpty;MaxSoldCopies;MetaProductId;Name;MkmUrl;MkmImageUrl;CollectorNumber;Rarity;ExpansionId;ExpansionName;Trend;FoilTrend;ExLow;FoilLow;Avg1;Avg7;Avg30;FoilAvg1;FoilAvg7;FoilAvg30;WeeklySales;MonthlySales;YearlySales;GlobalSales;WeeklyFoilSales;MonthlyFoilSales;YearlyFoilSales;GlobalFoilSales;WeeklySalesCount;MonthlySalesCount;YearlySalesCount;GlobalSalesCount;WeeklyFoilSalesCount;MonthlyFoilSalesCount;YearlyFoilSalesCount;GlobalFoilSalesCount;AvgCrossSaleCount;AvgCountPerSale;ScryfallId;OracleText;ProducedMana;ManaCost;Cmc;TypeLine;Power;Toughness;Colors;ColorIndicator;ColorIdentity;Keywords;Legality;Properties;ScryfallImageUriPng;EnExStock;EnExStockFoil;EnNmCollection;EnNmCollectionFoil;EnExSleeper;EnExSleeperFoil;VirtualStock;VirtualStockFoil;AllStock;AllStockFoil;AllCollection;AllCollectionFoil;AllSleeper;AllSleeperFoil;StrategyValue;StrategyFoilValue;StrategyType;StrategyFoilType;StrategyDateEnd;StrategyFoilDateEnd;DatePriceUpdate;DateSalesUpdate;DateStockUpdate;WishListCount;WishListFoilCount;WishListPrice;WishListFoilPrice;WantCount;CollectionNeed;EmptyListWantCount;Id;MetaproductId;Name;WebsiteUrl;ImageUrl;CollectorNumber;Rarity;ExpansionId;ExpansionName;CardType;GameId
727001;0;4;422802;Maleficent - Monstrous Dragon;/en/Lorcana/Products/Singles/Promos/Maleficent-Monstrous-Dragon;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727001/727001.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=3113af6763a6ebedb36c941bb4d1a16a9b1610794858deb981755732ed0688f9;5;15;5435;Promos;50;1450;0;2500;50;75;75;1450;1450;1450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.657;2023-11-10 04:47:16.280;2023-11-10 04:56:24.403;0;0;0;0;4;0;8;727001;422802;Maleficent - Monstrous Dragon;/en/Lorcana/Products/Singles/Promos/Maleficent-Monstrous-Dragon;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727001/727001.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=3113af6763a6ebedb36c941bb4d1a16a9b1610794858deb981755732ed0688f9;5;Promo;5435;Promos;0;19
727002;0;4;422803;Robin Hood - Unrivaled Archer;/en/Lorcana/Products/Singles/Promos/Robin-Hood-Unrivaled-Archer;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727002/727002.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=4ece521dd40b922a20cef7b295374e2e05304333a27f5e0dcec3fe22ba6fc39a;6;15;5435;Promos;0;0;0;2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.660;2023-11-10 04:47:16.280;2023-11-10 04:56:24.403;0;0;0;0;4;0;8;727002;422803;Robin Hood - Unrivaled Archer;/en/Lorcana/Products/Singles/Promos/Robin-Hood-Unrivaled-Archer;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727002/727002.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=4ece521dd40b922a20cef7b295374e2e05304333a27f5e0dcec3fe22ba6fc39a;6;Promo;5435;Promos;0;19
727005;0;4;422804;Captain Hook - Forceful Duelist;/en/Lorcana/Products/Singles/Promos/Captain-Hook-Forceful-Duelist;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727005/727005.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=c815170b961bac5074b17856a2df3e3ac097f5785d8d521efb72e31103e9dd68;7;15;5435;Promos;0,1;5;0;1200;0,1;0,1;0,1;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.663;2023-11-10 04:47:16.280;2023-11-10 04:56:24.407;0;0;0;0;4;0;8;727005;422804;Captain Hook - Forceful Duelist;/en/Lorcana/Products/Singles/Promos/Captain-Hook-Forceful-Duelist;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727005/727005.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=c815170b961bac5074b17856a2df3e3ac097f5785d8d521efb72e31103e9dd68;7;Promo;5435;Promos;0;19
727007;0;4;422805;Mickey Mouse - Detective;/en/Lorcana/Products/Singles/Promos/Mickey-Mouse-Detective;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727007/727007.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=a0c33030de7e8d3a8afd3e6c8e220087d072c39608a397163eae527178d5552a;8;15;5435;Promos;6,91;7,96;0;7;7,42;8;11,5;9,86;9,05;10,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.667;2023-11-10 04:47:16.280;2023-11-10 04:56:24.410;0;0;0;0;4;0;8;727007;422805;Mickey Mouse - Detective;/en/Lorcana/Products/Singles/Promos/Mickey-Mouse-Detective;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727007/727007.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=a0c33030de7e8d3a8afd3e6c8e220087d072c39608a397163eae527178d5552a;8;Promo;5435;Promos;0;19
727008;0;4;422806;Heihei - Boat Snack;/en/Lorcana/Products/Singles/Promos/Heihei-Boat-Snack;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727008/727008.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=467d3ae128dd1633b4f441d006ffb7a45c5ede475f72cce899d598f5a03ef114;9;15;5435;Promos;5,36;6,45;0;6;6,34;6,23;8,75;7,5;7,68;8,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.670;2023-11-10 04:47:16.280;2023-11-10 04:56:24.410;0;0;0;0;4;0;8;727008;422806;Heihei - Boat Snack;/en/Lorcana/Products/Singles/Promos/Heihei-Boat-Snack;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727008/727008.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=467d3ae128dd1633b4f441d006ffb7a45c5ede475f72cce899d598f5a03ef114;9;Promo;5435;Promos;0;19
727009;0;4;422807;Yzma - Alchemist;/en/Lorcana/Products/Singles/Promos/Yzma-Alchemist;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727009/727009.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=b98d4c0d97432d8341571d08d101c21954b611a561a99462b859987ba0f8c9eb;10;15;5435;Promos;6,35;7,27;0;6;6,67;6,95;9,19;7,17;7,83;9,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.673;2023-11-10 04:47:16.283;2023-11-10 04:56:24.413;0;0;0;0;4;0;8;727009;422807;Yzma - Alchemist;/en/Lorcana/Products/Singles/Promos/Yzma-Alchemist;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727009/727009.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=b98d4c0d97432d8341571d08d101c21954b611a561a99462b859987ba0f8c9eb;10;Promo;5435;Promos;0;19
727010;0;4;422808;Mickey Mouse - Musketeer;/en/Lorcana/Products/Singles/Promos/Mickey-Mouse-Musketeer;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727010/727010.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=8e32211410ee9daf9fbfd0716b7c0ef908827c245566d700870b78af45cc8de1;11;15;5435;Promos;222,55;200;0;315;225;214,94;243,76;200;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.677;2023-11-10 04:47:16.283;2023-11-10 04:56:24.413;0;0;0;0;4;0;8;727010;422808;Mickey Mouse - Musketeer;/en/Lorcana/Products/Singles/Promos/Mickey-Mouse-Musketeer;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727010/727010.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=8e32211410ee9daf9fbfd0716b7c0ef908827c245566d700870b78af45cc8de1;11;Promo;5435;Promos;0;19
727011;0;4;422809;Goofy - Musketeer;/en/Lorcana/Products/Singles/Promos/Goofy-Musketeer;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727011/727011.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=30021e50e4eb570d2ec89557d3b77a9fb6a2027277e8dcee19f88d7df277323a;12;15;5435;Promos;130,41;40;0;0;67,5;100,24;75,25;40;62,21;62,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.680;2023-11-10 04:47:16.283;2023-11-10 04:56:24.417;0;0;0;0;4;0;8;727011;422809;Goofy - Musketeer;/en/Lorcana/Products/Singles/Promos/Goofy-Musketeer;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/PR1/727011/727011.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195645Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=30021e50e4eb570d2ec89557d3b77a9fb6a2027277e8dcee19f88d7df277323a;12;Promo;5435;Promos;0;19
727081;0;4;422852;Ariel - On Human Legs;/en/Lorcana/Products/Singles/The-First-Chapter/Ariel-On-Human-Legs;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/1TFC/727081/727081.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195635Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=e50222659fc7ba3e230546e218e84b111411905a8e8c43562e87d3a4d6197e16;1;1;5434;The First Chapter;0,07;1,25;0,02;0,8;0,08;0,06;0,06;1,6;1,57;1,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.850;2023-11-10 04:47:16.297;2023-11-10 04:56:24.507;0;0;0;0;0;0;4;727081;422852;Ariel - On Human Legs;/en/Lorcana/Products/Singles/The-First-Chapter/Ariel-On-Human-Legs;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/1TFC/727081/727081.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195635Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=e50222659fc7ba3e230546e218e84b111411905a8e8c43562e87d3a4d6197e16;1;Uncommon;5434;The First Chapter;0;19
727082;0;4;422853;Ariel - Spectacular Singer;/en/Lorcana/Products/Singles/The-First-Chapter/Ariel-Spectacular-Singer;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/1TFC/727082/727082.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195635Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=3a96e9a2e24c6498f72feba366e3a81e445fa30c15cb5b14e6dd045a6cd9d541;2;13;5434;The First Chapter;4,81;22,99;6,5;12,99;5,17;4,96;5;17,42;23,19;20,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00000000-0000-0000-0000-000000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2023-09-19;2023-09-19;2023-11-10 04:43:06.853;2023-11-10 04:47:16.297;2023-11-10 04:56:24.507;0;0;0;0;4;0;8;727082;422853;Ariel - Spectacular Singer;/en/Lorcana/Products/Singles/The-First-Chapter/Ariel-Spectacular-Singer;https://product-images-production-current.s3.eu-central-1.amazonaws.com/1629/1TFC/727082/727082.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA42VCYKVESOV3UNOL%2F20230919%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20230919T195635Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=3a96e9a2e24c6498f72feba366e3a81e445fa30c15cb5b14e6dd045a6cd9d541;2;Super Rare;5434;The First Chapter;0;19
